sources,target,pieces,cosine,scaled_error,raw_error,sign_agreement,magnitude_ratio,random_percentile_at_least,random_p50,random_p90,random_p95,random_p99,local_abs_max,local_max,local_min,robust_min_cosine,robust_mean_cosine,symmetry,config_json
"4 R","Triangle Hat","4","0.8937","0.4488","0.5964","1","1.2865","0.99","0.4658","0.8011","0.8221","0.8692","false","false","false","0.4788","0.6125","0.75","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-3}]"
"5 R","Triangle Hat","5","0.919","0.3942","0.7871","1","1.6003","0.99","0.4146","0.8127","0.8436","0.8659","false","false","false","0.6738","0.7695","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3}]"
"2 R","Triangle Hat","2","0.8683","0.4961","0.5291","1","1.0522","0.99","0.4021","0.7609","0.7898","0.8203","false","false","false","0.4034","0.4425","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2}]"
"1 R + 1 A","Triangle Hat","2","0.8906","0.4549","0.6095","1","1.2962","0.99","0.4281","0.7943","0.8268","0.8582","false","false","false","0.4201","0.5027","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"
"6 R","Triangle Hat","6","0.9108","0.4128","0.7618","1","1.5511","0.99","0.5127","0.8153","0.8434","0.8812","false","false","false","0.589","0.7306","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":3}]"
"2 A","Triangle Hat","2","0.9093","0.4162","0.7509","1","1.5342","0.99","0.4692","0.8022","0.8349","0.8482","false","false","false","0.5196","0.5481","1","[{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"
"3 R","Triangle Hat","3","0.857","0.5153","0.5429","1","1.0282","0.99","0.3492","0.7781","0.8134","0.8444","false","false","false","0.3666","0.6122","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":3}]"
"2 R + 1 A","Triangle Hat","3","0.8685","0.4956","0.567","1","1.1438","0.99","0.5116","0.7874","0.8183","0.8577","false","false","false","0.4378","0.6332","0.3333","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"
"1 R + 2 A","Triangle Hat","3","0.8907","0.4545","0.6719","1","1.3856","0.99","0.467","0.79","0.8338","0.8707","false","false","false","0.4475","0.6645","0.3333","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3}]"
"3 A","Triangle Hat","3","0.8991","0.4378","0.7415","1","1.4976","0.99","0.5941","0.7844","0.8385","0.8918","false","false","false","0.4925","0.6798","1","[{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"
