target,rank,sources,pieces,cosine,sign_agreement,magnitude_ratio,random_percentile_at_least,robust_min_cosine,local_abs_max,config_json,diagram
"Round Hat","1","2 R","2","0.8991","1","1.5312","0.99","0.2592","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2}]"," .  .  R  .  .
 .  .  .  .  .
 .  .  *  .  .
 .  .  .  .  .
 .  .  R  .  ."
"Round Hat","2","3 R","3","0.8861","1","1.4962","0.99","0.2175","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":3}]"," .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 R  .  .  .  .  .  R"
"Round Hat","3","4 R","4","0.9334","1","2.5076","0.99","0.7159","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":3}]"," .  .  R  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  R  .  ."
"Round Hat","4","2 R + 1 A","3","0.8802","1","1.6645","0.99","0.2918","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"," .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 R  .  .  .  .  .  A"
"Round Hat","5","1 R + 1 A","2","0.887","1","1.8862","0.99","0.2446","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"," .  .  R  .  .
 .  .  .  .  .
 .  .  *  .  .
 .  .  .  .  .
 .  .  A  .  ."
"Round Hat","6","3 R + 1 A","4","0.9076","1","2.3251","0.99","0.6191","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"," .  .  R  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  .  R  .  .  .  A"
"Round Hat","7","5 R","5","0.9301","1","2.8591","0.99","0.7493","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":-3}]"," .  .  R  .  .  .  R
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  R  .  .  .  ."
"Round Hat","8","1 R + 2 A","3","0.876","1","1.8315","0.99","0.349","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"," .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 A  .  .  .  .  .  A"
"Round Hat","9","6 R","6","0.9444","1","3.4989","0.99","0.8469","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3}]"," .  .  R  .  R  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  R  .  R  .  ."
"Round Hat","10","4 R + 1 A","5","0.9195","1","2.8661","0.99","0.7241","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"," .  .  R  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 R  .  .  .  .  .  A"
"Round Hat","11","2 R + 2 A","4","0.9231","1","2.9828","0.99","0.7219","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":3}]"," .  .  A  .  .  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 .  .  A  .  .  .  ."
"Round Hat","12","5 R + 1 A","6","0.935","1","3.5086","0.99","0.8203","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3}]"," .  .  R  .  R  .  .
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 A  .  .  .  R  .  ."
"Tower","1","3 R + 3 T","6","0.7729","0.8864","1.652","0.99","0.5872","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3}]"," T  .  .  .  .  .  T
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  R  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  R  R  .  .  .
 .  .  .  .  .  .  T"
"Tower","2","2 R + 4 T","6","0.7655","0.9773","1.9002","0.99","0.6865","true","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3}]"," T  .  .  .  .  .  T
 .  .  .  R  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 T  .  .  .  .  .  T"
"Tower","3","3 R + 2 T","5","0.7475","0.8636","1.4232","0.99","0.5168","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3}]"," T  .  .  .  .  .  T
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  R  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  R  R  .  .  .
 .  .  .  .  .  .  ."
"Tower","4","1 R + 4 T","5","0.7381","0.9773","1.5679","0.99","0.5796","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3}]"," T  .  .  .  .  .  T
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  R  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 T  .  .  .  .  .  T"
"Tower","5","4 R + 2 T","6","0.7644","0.9091","1.7671","0.99","0.6476","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3}]"," T  .  .  .  .  .  T
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  R  .  *  .  R  .
 .  .  .  .  .  .  .
 .  .  .  R  R  .  .
 .  .  .  .  .  .  ."
"Tower","6","1 R + 4 T + 1 A","6","0.7734","0.9773","2.1147","0.99","0.6691","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":-2}]"," T  .  .  .  .  .  T
 .  .  .  A  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  R  .  .  .
 T  .  .  .  .  .  T"
"Tower","7","3 R + 2 T + 1 A","6","0.7654","0.8636","1.6822","0.99","0.61","false","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"," T  .  .  .  .  .  A
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  R  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  R  R  .  .  .
 .  .  .  .  .  .  T"
"Tower","8","4 T + 1 A","5","0.7493","0.9773","1.7887","0.99","0.575","false","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0}]"," T  .  .  .  .  .  T
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 .  A  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  .  .  .  .
 T  .  .  .  .  .  T"
"Tower","9","4 T + 2 A","6","0.7795","0.9773","2.3303","0.99","0.6874","false","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"," T  .  .  .  .  .  T
 .  .  .  A  .  .  .
 .  .  .  .  .  .  .
 .  .  .  *  .  .  .
 .  .  .  .  .  .  .
 .  .  .  A  .  .  .
 T  .  .  .  .  .  T"
